                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3394,                0.75515,                 1.3671,                 1.3892,                 0.7841,                 1.3623,                0.74154,                0.70253,                0.78351,                0.38221,                 1.7337,                0.92251,                 1.6059,                  1.751,                0.99432,                 1.5843,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.3453,                0.78332,                  1.375,                 1.3982,                0.83324,                 1.3668,                0.72801,                0.72333,                0.76372,                0.38414,                 1.7169,                0.91602,                 1.6157,                 1.7509,                0.97984,                 1.6047,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.3209,                0.73134,                 1.3643,                 1.3515,                0.75129,                 1.3574,                0.75851,                0.70248,                0.78663,                 0.3959,                 1.6768,                0.85532,                 1.5752,                  1.716,                0.92282,                 1.5848,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.3143,                0.72272,                  1.371,                 1.3712,                0.73654,                  1.376,                0.81977,                0.67222,                0.80231,                0.40864,                 1.7121,                0.84742,                 1.6062,                 1.7648,                0.88553,                 1.6158,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.3184,                0.72416,                 1.3778,                 1.3712,                0.72508,                 1.3836,                0.75559,                0.73455,                0.78444,                0.39109,                 1.7201,                0.89192,                 1.6116,                 1.7514,                0.94341,                 1.6131,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.2869,                0.68838,                 1.3449,                 1.3331,                0.70333,                 1.3436,                0.80649,                 0.7325,                0.79165,                0.40607,                  1.698,                0.88458,                 1.6153,                 1.7387,                0.91393,                 1.6141,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.2966,                0.71914,                 1.3527,                 1.3609,                0.72732,                 1.3481,                  0.789,                  0.717,                0.82338,                0.41519,                 1.6816,                  0.856,                 1.5842,                 1.7233,                0.87721,                 1.5863,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.2742,                0.67999,                 1.3338,                 1.3163,                0.69287,                 1.3303,                0.82691,                0.71534,                0.81858,                0.40573,                 1.7133,                0.85624,                 1.5885,                 1.7521,                0.91067,                 1.5894,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.2629,                0.65924,                 1.3165,                 1.3094,                0.66971,                  1.305,                0.80096,                0.73863,                0.80477,                0.39146,                 1.7364,                0.84634,                 1.6623,                 1.7765,                 0.8925,                 1.6561,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.2874,                0.67766,                   1.34,                 1.3327,                0.67094,                 1.3299,                0.79248,                0.76023,                0.80217,                 0.4138,                 1.7188,                0.89478,                 1.6135,                 1.7438,                0.96661,                 1.5924,             0.00055188,             0.00055188,             0.00055188
